"holiday","temp","rain_1h","snow_1h","clouds_all","weather_main","weather_description","date_time","traffic_volume"
"None",15.04,0,0,20,"Clouds","few clouds","2012-10-03 20:00:00",2898
"None",13.95,0,0,1,"Clear","sky is clear","2012-10-03 21:00:00",2637
"None",13.1,0,0,1,"Clear","sky is clear","2012-10-03 22:00:00",1777
"None",12.11,0,0,1,"Clear","sky is clear","2012-10-03 23:00:00",1015
"None",11.4,0,0,1,"Clear","sky is clear","2012-10-04 00:00:00",598
"None",10.3200000000001,0,0,1,"Clear","sky is clear","2012-10-04 01:00:00",369
"None",10.02,0,0,1,"Clear","sky is clear","2012-10-04 02:00:00",312
"None",8.89000000000004,0,0,1,"Clear","sky is clear","2012-10-04 03:00:00",367
"None",8.54000000000002,0,0,1,"Clear","sky is clear","2012-10-04 04:00:00",835
"None",8.17000000000002,0,0,1,"Clear","sky is clear","2012-10-04 05:00:00",2726
"None",7.59000000000003,0,0,1,"Clear","sky is clear","2012-10-04 06:00:00",5689
"None",7.42000000000002,0,0,1,"Clear","sky is clear","2012-10-04 07:00:00",6990
"None",8.71000000000004,0,0,1,"Clear","sky is clear","2012-10-04 08:00:00",5985
"None",11.83,0,0,1,"Clear","sky is clear","2012-10-04 09:00:00",5309
"None",16.03,0,0,1,"Clear","sky is clear","2012-10-04 10:00:00",4603
"None",18.4,0,0,1,"Clear","sky is clear","2012-10-04 11:00:00",4884
"None",21.8200000000001,0,0,1,"Clear","sky is clear","2012-10-04 12:00:00",5104
"None",23.23,0,0,1,"Clear","sky is clear","2012-10-04 13:00:00",5178
"None",24.17,0,0,1,"Clear","sky is clear","2012-10-04 14:00:00",5501
"None",25.02,0,0,1,"Clear","sky is clear","2012-10-04 15:00:00",5713
"None",24.91,0,0,20,"Clouds","few clouds","2012-10-04 16:00:00",6292
"None",24.52,0,0,20,"Clouds","few clouds","2012-10-04 17:00:00",6057
"None",23.21,0,0,40,"Clouds","scattered clouds","2012-10-04 18:00:00",4907
"None",20.7,0,0,40,"Clouds","scattered clouds","2012-10-04 19:00:00",3503
"None",19.28,0,0,40,"Clouds","scattered clouds","2012-10-04 20:00:00",3037
"None",18.62,0,0,75,"Clouds","broken clouds","2012-10-04 21:00:00",2822
"None",18.21,0,0,75,"Clouds","broken clouds","2012-10-04 22:00:00",1992
"None",17.97,0,0,75,"Clouds","broken clouds","2012-10-04 23:00:00",1166
"None",17.48,0,0,75,"Clouds","broken clouds","2012-10-05 00:00:00",627
"None",17.31,0,0,40,"Clouds","scattered clouds","2012-10-05 01:00:00",388
"None",16.11,0,0,0,"Clear","sky is clear","2012-10-05 03:00:00",368
"None",10.06,0,0,75,"Clouds","broken clouds","2012-10-05 05:00:00",2489
"None",9.09000000000003,0,0,90,"Clouds","overcast clouds","2012-10-05 06:00:00",5537
"None",8.54000000000002,0,0,90,"Clouds","overcast clouds","2012-10-05 07:00:00",6628
"None",7.42000000000002,0,0,90,"Clouds","overcast clouds","2012-10-05 08:00:00",5534
"None",6.87,0,0,75,"Clouds","broken clouds","2012-10-05 09:00:00",5403
"None",6.96000000000004,0,0,75,"Clouds","broken clouds","2012-10-05 10:00:00",4770
"None",6.85000000000002,0,0,90,"Clouds","overcast clouds","2012-10-05 11:00:00",5217
"None",7.38,0,0,90,"Clouds","overcast clouds","2012-10-05 12:00:00",5870
"None",8.28000000000003,0,0,75,"Clouds","broken clouds","2012-10-05 13:00:00",5967
"None",8.63,0,0,90,"Clouds","overcast clouds","2012-10-05 14:00:00",6108
"None",8.76000000000005,0,0,90,"Clouds","overcast clouds","2012-10-05 15:00:00",6128
"None",8.58000000000004,0,0,90,"Clouds","overcast clouds","2012-10-05 16:00:00",6069
"None",8.27000000000004,0,0,90,"Clouds","overcast clouds","2012-10-05 17:00:00",6169
"None",7.72000000000003,0,0,90,"Clouds","overcast clouds","2012-10-05 18:00:00",5384
"None",7,0,0,90,"Clouds","overcast clouds","2012-10-05 19:00:00",4063
"None",6.63,0,0,90,"Clouds","overcast clouds","2012-10-05 20:00:00",3364
"None",6.5,0,0,75,"Clouds","broken clouds","2012-10-05 21:00:00",2971
"None",6.07000000000005,0,0,40,"Clouds","scattered clouds","2012-10-05 22:00:00",2450
"None",5.91000000000003,0,0,40,"Clouds","scattered clouds","2012-10-05 23:00:00",1832
"None",5.66000000000003,0,0,90,"Clouds","overcast clouds","2012-10-06 00:00:00",1231
"None",5.40000000000003,0,0,90,"Clouds","overcast clouds","2012-10-06 01:00:00",718
"None",5.44,0,0,90,"Clouds","overcast clouds","2012-10-06 02:00:00",545
"None",3.84000000000003,0,0,75,"Clouds","broken clouds","2012-10-06 04:00:00",411
"None",3.20000000000005,0,0,20,"Clouds","few clouds","2012-10-06 05:00:00",688
"None",2.25,0,0,1,"Clear","sky is clear","2012-10-06 06:00:00",1352
"None",2.02000000000004,0,0,1,"Clear","sky is clear","2012-10-06 07:00:00",2072
"None",1.84000000000003,0,0,1,"Clear","sky is clear","2012-10-06 08:00:00",3342
"None",1.94,0,0,40,"Clouds","scattered clouds","2012-10-06 09:00:00",4258
"None",3.73000000000002,0,0,20,"Clouds","few clouds","2012-10-06 10:00:00",4861
"None",4.89000000000004,0,0,20,"Clouds","few clouds","2012-10-06 11:00:00",5191
"None",5.93000000000001,0,0,40,"Clouds","scattered clouds","2012-10-06 12:00:00",5669
"None",6.97000000000003,0,0,75,"Clouds","broken clouds","2012-10-06 13:00:00",5074
"None",7.10000000000002,0,0,75,"Clouds","broken clouds","2012-10-06 14:00:00",5025
"None",6.85000000000002,0,0,75,"Clouds","broken clouds","2012-10-06 15:00:00",5153
"None",5.91000000000003,0,0,90,"Clouds","overcast clouds","2012-10-06 16:00:00",5024
"None",5.76000000000005,0,0,90,"Clouds","overcast clouds","2012-10-06 17:00:00",4779
"None",5.24000000000001,0,0,90,"Clouds","overcast clouds","2012-10-06 18:00:00",4362
"None",5.01000000000005,0,0,90,"Clouds","overcast clouds","2012-10-06 19:00:00",3860
"None",5.01000000000005,0,0,90,"Clouds","overcast clouds","2012-10-06 20:00:00",3160
"None",4.78000000000003,0,0,90,"Clouds","overcast clouds","2012-10-06 21:00:00",2992
"None",3.75,0,0,90,"Clouds","overcast clouds","2012-10-06 22:00:00",3202
"None",3.19,0,0,75,"Clouds","broken clouds","2012-10-06 23:00:00",1941
"None",2.96000000000004,0,0,75,"Clouds","broken clouds","2012-10-07 00:00:00",1233
"None",2.58000000000004,0,0,90,"Clouds","overcast clouds","2012-10-07 03:00:00",323
"None",2.5,0,0,90,"Clouds","overcast clouds","2012-10-07 04:00:00",312
"None",2.36000000000001,0,0,75,"Clouds","broken clouds","2012-10-07 05:00:00",627
"None",1.90000000000003,0,0,90,"Clouds","overcast clouds","2012-10-07 06:00:00",1508
"None",1.62,0,0,90,"Clouds","overcast clouds","2012-10-07 07:00:00",1539
"None",1.62,0,0,75,"Clouds","broken clouds","2012-10-07 08:00:00",2232
"None",2.40000000000003,0,0,75,"Clouds","broken clouds","2012-10-07 09:00:00",4568
"None",3.09000000000003,0,0,75,"Clouds","broken clouds","2012-10-07 10:00:00",4624
"None",3.86000000000001,0,0,90,"Clouds","overcast clouds","2012-10-07 11:00:00",4529
"None",4.28000000000003,0,0,90,"Clouds","overcast clouds","2012-10-07 12:00:00",5139
"None",5.30000000000001,0,0,90,"Clouds","overcast clouds","2012-10-07 13:00:00",6640
"None",6.12,0,0,90,"Clouds","overcast clouds","2012-10-07 14:00:00",6589
"None",6.12,0,0,90,"Clouds","overcast clouds","2012-10-07 15:00:00",4429
"None",6.29000000000002,0,0,90,"Clouds","overcast clouds","2012-10-07 16:00:00",4329
"None",6.17000000000002,0,0,90,"Clouds","overcast clouds","2012-10-07 17:00:00",3833
"None",6.12,0,0,90,"Clouds","overcast clouds","2012-10-07 18:00:00",4015
"None",4.96000000000004,0,0,90,"Clouds","overcast clouds","2012-10-07 19:00:00",3382
"None",3.64000000000004,0,0,75,"Clouds","broken clouds","2012-10-07 20:00:00",2815
"None",2.58000000000004,0,0,90,"Clouds","overcast clouds","2012-10-07 21:00:00",2110
"None",1.73000000000002,0,0,75,"Clouds","broken clouds","2012-10-07 22:00:00",1555
"None",0.770000000000039,0,0,20,"Clouds","few clouds","2012-10-07 23:00:00",959
"Columbus Day",-0.0699999999999932,0,0,20,"Clouds","few clouds","2012-10-08 00:00:00",455
"None",-0.529999999999973,0,0,20,"Clouds","few clouds","2012-10-08 01:00:00",336
"None",-1.37,0,0,1,"Clear","sky is clear","2012-10-08 02:00:00",265
"None",-2.09999999999997,0,0,1,"Clear","sky is clear","2012-10-08 03:00:00",314
"None",-2.51999999999998,0,0,1,"Clear","sky is clear","2012-10-08 04:00:00",779
"None",-2.81999999999999,0,0,1,"Clear","sky is clear","2012-10-08 05:00:00",2571
"None",-3.53999999999996,0,0,20,"Clouds","few clouds","2012-10-08 06:00:00",5563
"None",-3.13999999999999,0,0,20,"Clouds","few clouds","2012-10-08 07:00:00",6676
"None",-1.91999999999996,0,0,20,"Clouds","few clouds","2012-10-08 08:00:00",5966
"None",0.560000000000002,0,0,20,"Clouds","few clouds","2012-10-08 09:00:00",4832
"None",3.62,0,0,20,"Clouds","few clouds","2012-10-08 10:00:00",4395
"None",6.32000000000005,0,0,20,"Clouds","few clouds","2012-10-08 11:00:00",4411
"None",6.69,0,0,1,"Clear","sky is clear","2012-10-08 12:00:00",4648
"None",9.19,0,0,40,"Clouds","scattered clouds","2012-10-08 13:00:00",4602
"None",9.79000000000002,0,0,40,"Clouds","scattered clouds","2012-10-08 14:00:00",5125
"None",10.33,0,0,1,"Clear","sky is clear","2012-10-08 15:00:00",5502
"None",11.18,0,0,1,"Clear","sky is clear","2012-10-08 16:00:00",5979
"None",11.33,0,0,40,"Clouds","scattered clouds","2012-10-08 17:00:00",5663
"None",11.08,0,0,40,"Clouds","scattered clouds","2012-10-08 18:00:00",4259
"None",8.84000000000003,0,0,20,"Clouds","few clouds","2012-10-08 19:00:00",3069
"None",6.66000000000003,0,0,1,"Clear","sky is clear","2012-10-08 20:00:00",2378
"None",6.20000000000005,0,0,1,"Clear","sky is clear","2012-10-08 21:00:00",2030
"None",5.75,0,0,1,"Clear","sky is clear","2012-10-08 22:00:00",1400
"None",5.31,0,0,1,"Clear","sky is clear","2012-10-08 23:00:00",917
"None",4.63,0,0,1,"Clear","sky is clear","2012-10-09 00:00:00",515
"None",4.12,0,0,1,"Clear","sky is clear","2012-10-09 01:00:00",302
"None",4.32000000000005,0,0,1,"Clear","sky is clear","2012-10-09 02:00:00",251
"None",3.82000000000005,0,0,20,"Clouds","few clouds","2012-10-09 04:00:00",798
"None",3.37,0,0,40,"Clouds","scattered clouds","2012-10-09 05:00:00",2678
"None",3.45000000000005,0,0,40,"Clouds","scattered clouds","2012-10-09 06:00:00",5733
"None",4.16000000000003,0,0,75,"Clouds","broken clouds","2012-10-09 07:00:00",6449
"None",5.23000000000002,0,0,90,"Clouds","overcast clouds","2012-10-09 08:00:00",5765
"None",6.20000000000005,0,0,90,"Clouds","overcast clouds","2012-10-09 09:00:00",5599
"None",8.22000000000003,0,0,90,"Clouds","overcast clouds","2012-10-09 10:00:00",4534
"None",9.96000000000004,0,0,90,"Clouds","overcast clouds","2012-10-09 11:00:00",4691
"None",10.93,0,0,75,"Clouds","broken clouds","2012-10-09 12:00:00",5067
"None",11.99,0,0,75,"Clouds","broken clouds","2012-10-09 13:00:00",5030
"None",13.2,0,0,90,"Clouds","overcast clouds","2012-10-09 14:00:00",5300
"None",14.08,0,0,100,"Rain","light rain","2012-10-09 15:00:00",5777
"None",15.38,0,0,90,"Clouds","overcast clouds","2012-10-09 16:00:00",6349
"None",17.22,0,0,90,"Clouds","overcast clouds","2012-10-09 17:00:00",6127
"None",16.98,0,0,90,"Clouds","overcast clouds","2012-10-09 18:00:00",4460
"None",15.71,0,0,75,"Clouds","broken clouds","2012-10-09 19:00:00",3418
"None",14.21,0,0,90,"Clouds","overcast clouds","2012-10-09 20:00:00",2775
"None",11.96,0,0,90,"Clouds","overcast clouds","2012-10-09 21:00:00",2306
"None",10.31,0,0,90,"Clouds","overcast clouds","2012-10-09 22:00:00",1846
"None",9.30000000000001,0,0,90,"Clouds","overcast clouds","2012-10-09 23:00:00",947
"None",8.73000000000002,0,0,90,"Clouds","overcast clouds","2012-10-10 00:00:00",494
"None",8.63,0,0,90,"Clouds","overcast clouds","2012-10-10 01:00:00",332
"None",7.94,0,0,75,"Clouds","broken clouds","2012-10-10 02:00:00",261
"None",8.02000000000004,0,0,90,"Clouds","overcast clouds","2012-10-10 03:00:00",361
"None",8.10000000000002,0,0,92,"Clear","sky is clear","2012-10-10 06:00:00",5875
"None",8.10000000000002,0,0,99,"Rain","light rain","2012-10-10 07:00:00",6793
"None",8.10000000000002,0,0,99,"Drizzle","light intensity drizzle","2012-10-10 07:00:00",6793
"None",6.95000000000005,0,0,99,"Rain","light rain","2012-10-10 08:00:00",6283
"None",6.95000000000005,0,0,99,"Drizzle","light intensity drizzle","2012-10-10 08:00:00",6283
"None",6.46000000000004,0,0,99,"Rain","light rain","2012-10-10 09:00:00",5680
"None",6.46000000000004,0,0,99,"Drizzle","light intensity drizzle","2012-10-10 09:00:00",5680
"None",6.52000000000004,0,0,99,"Clear","sky is clear","2012-10-10 10:00:00",4632
"None",7.04000000000002,0,0,1,"Clear","sky is clear","2012-10-10 11:00:00",4887
"None",8.94,0,0,75,"Clouds","broken clouds","2012-10-10 12:00:00",5030
"None",9.11000000000001,0,0,75,"Clouds","broken clouds","2012-10-10 13:00:00",5067
"None",8.90000000000003,0,0,90,"Clouds","overcast clouds","2012-10-10 14:00:00",5227
"None",8.44,0,0,90,"Clouds","overcast clouds","2012-10-10 15:00:00",5610
"None",8.08000000000004,0,0,81,"Clear","sky is clear","2012-10-10 16:00:00",6286
"None",9.45000000000005,0,0,81,"Clear","sky is clear","2012-10-10 18:00:00",4775
"None",9.45000000000005,0,0,81,"Clear","sky is clear","2012-10-10 19:00:00",3340
"None",9.45000000000005,0,0,81,"Clear","sky is clear","2012-10-10 20:00:00",3013
"None",9.45000000000005,0,0,81,"Clear","sky is clear","2012-10-10 21:00:00",2603
"None",9.45000000000005,0,0,81,"Clear","sky is clear","2012-10-10 22:00:00",1910
"None",9.45000000000005,0,0,81,"Clear","sky is clear","2012-10-10 23:00:00",1037
"None",0.75,0,0,1,"Clear","sky is clear","2012-10-11 01:00:00",347
"None",1.25,0,0,75,"Clouds","broken clouds","2012-10-11 03:00:00",350
"None",0.900000000000034,0,0,75,"Clouds","broken clouds","2012-10-11 04:00:00",850
"None",0.560000000000002,0,0,40,"Clouds","scattered clouds","2012-10-11 05:00:00",2791
"None",-0.489999999999952,0,0,1,"Clear","sky is clear","2012-10-11 06:00:00",5809
"None",-0.5,0,0,1,"Clear","sky is clear","2012-10-11 07:00:00",6798
"None",-0.629999999999995,0,0,1,"Clear","sky is clear","2012-10-11 08:00:00",6304
"None",2.04000000000002,0,0,20,"Clouds","few clouds","2012-10-11 09:00:00",5291
"None",2.19,0,0,1,"Clear","sky is clear","2012-10-11 10:00:00",4638
"None",10.95,0,0,50,"Clear","sky is clear","2012-10-11 14:00:00",5557
"None",10.95,0,0,50,"Clear","sky is clear","2012-10-11 15:00:00",5818
"None",10.63,0,0,75,"Clouds","broken clouds","2012-10-11 16:00:00",6272
"None",10.37,0,0,75,"Clouds","broken clouds","2012-10-11 17:00:00",5944
"None",10.17,0,0,90,"Clouds","overcast clouds","2012-10-11 18:00:00",4949
"None",8.91000000000003,0,0,90,"Clouds","overcast clouds","2012-10-11 19:00:00",3511
"None",8.80000000000001,0,0,90,"Clouds","overcast clouds","2012-10-11 20:00:00",3039
"None",8.66000000000003,0,0,90,"Clouds","overcast clouds","2012-10-11 21:00:00",2679
"None",9.01000000000005,0,0,90,"Clouds","overcast clouds","2012-10-11 22:00:00",2094
"None",9.38,0,0,90,"Clouds","overcast clouds","2012-10-11 23:00:00",1284
"None",10.76,0,0,90,"Clouds","overcast clouds","2012-10-12 00:00:00",630
"None",11.49,0,0,90,"Clouds","overcast clouds","2012-10-12 01:00:00",410
"None",11.46,0,0,90,"Clouds","overcast clouds","2012-10-12 02:00:00",331
"None",10.03,0,0,72,"Drizzle","light intensity drizzle","2012-10-12 03:00:00",372
"None",9.11000000000001,0,0,72,"Rain","light rain","2012-10-12 04:00:00",739
"None",7.62,0,0,72,"Drizzle","light intensity drizzle","2012-10-12 05:00:00",2561
"None",5.38,0,0,75,"Clouds","broken clouds","2012-10-12 06:00:00",5586
"None",4.49000000000001,0,0,75,"Clouds","broken clouds","2012-10-12 07:00:00",6992
"None",4.75,0,0,90,"Clouds","overcast clouds","2012-10-12 08:00:00",5860
"None",5.03000000000003,0,0,90,"Clouds","overcast clouds","2012-10-12 09:00:00",5230
"None",6.14000000000004,0,0,75,"Clouds","broken clouds","2012-10-12 10:00:00",4864
"None",7.30000000000001,0,0,75,"Clouds","broken clouds","2012-10-12 11:00:00",5146
"None",7.80000000000001,0,0,40,"Clouds","scattered clouds","2012-10-12 12:00:00",5526
"None",8.59000000000003,0,0,40,"Clouds","scattered clouds","2012-10-12 13:00:00",5383
"None",8.69,0,0,75,"Clouds","broken clouds","2012-10-12 14:00:00",5758
"None",9.30000000000001,0,0,75,"Clouds","broken clouds","2012-10-12 15:00:00",5889
"None",9.05000000000001,0,0,75,"Clouds","broken clouds","2012-10-12 16:00:00",6057
"None",8.39000000000004,0,0,40,"Clouds","scattered clouds","2012-10-12 17:00:00",6028
"None",7.06,0,0,20,"Clouds","few clouds","2012-10-12 18:00:00",5257
"None",9.05000000000001,0,0,56,"Clear","sky is clear","2012-10-12 23:00:00",1897
"None",-0.569999999999993,0,0,1,"Clear","sky is clear","2012-10-13 00:00:00",1335
"None",-1.08999999999997,0,0,1,"Clear","sky is clear","2012-10-13 01:00:00",769
"None",-2.15999999999997,0,0,1,"Clear","sky is clear","2012-10-13 02:00:00",570
"None",-2.85999999999996,0,0,20,"Clouds","few clouds","2012-10-13 03:00:00",413
"None",-3.66999999999996,0,0,1,"Clear","sky is clear","2012-10-13 04:00:00",399
"None",-3.88,0,0,1,"Clear","sky is clear","2012-10-13 05:00:00",740
"None",-4.23999999999995,0,0,1,"Clear","sky is clear","2012-10-13 06:00:00",1420
"None",-4.16999999999996,0,0,75,"Clouds","broken clouds","2012-10-13 07:00:00",2220
"None",-3.91999999999996,0,0,40,"Clouds","scattered clouds","2012-10-13 08:00:00",3479
"None",-0.539999999999964,0,0,40,"Clouds","scattered clouds","2012-10-13 09:00:00",4546
"None",3.63,0,0,20,"Clouds","few clouds","2012-10-13 10:00:00",4579
"None",6.07000000000005,0,0,1,"Clear","sky is clear","2012-10-13 11:00:00",4438
"None",7.20000000000005,0,0,1,"Clear","sky is clear","2012-10-13 12:00:00",4623
"None",8.66000000000003,0,0,1,"Clear","sky is clear","2012-10-13 13:00:00",4440
"None",9.90000000000003,0,0,1,"Clear","sky is clear","2012-10-13 14:00:00",4495
"None",10.81,0,0,1,"Clear","sky is clear","2012-10-13 15:00:00",4483
"None",11.38,0,0,1,"Clear","sky is clear","2012-10-13 16:00:00",4591
"None",11.29,0,0,1,"Clear","sky is clear","2012-10-13 17:00:00",4477
"None",10.49,0,0,1,"Clear","sky is clear","2012-10-13 18:00:00",4221
"None",8.70000000000005,0,0,20,"Clouds","few clouds","2012-10-13 19:00:00",3672
"None",8.23000000000002,0,0,1,"Clear","sky is clear","2012-10-13 20:00:00",3015
"None",8.69,0,0,75,"Clouds","broken clouds","2012-10-13 21:00:00",2769
"None",9.08000000000004,0,0,90,"Clouds","overcast clouds","2012-10-13 22:00:00",2875
"None",9.03000000000003,0,0,90,"Clouds","overcast clouds","2012-10-13 23:00:00",1931
"None",9.34000000000003,0,0,90,"Clouds","overcast clouds","2012-10-14 00:00:00",1309
"None",9.39000000000004,0,0,90,"Clouds","overcast clouds","2012-10-14 01:00:00",870
"None",9.43000000000001,0,0,90,"Clouds","overcast clouds","2012-10-14 02:00:00",654
"None",9.08000000000004,0,0,90,"Clouds","overcast clouds","2012-10-14 03:00:00",364
"None",8.93000000000001,0,0,90,"Clouds","overcast clouds","2012-10-14 04:00:00",262
"None",9.08000000000004,0,0,90,"Clouds","overcast clouds","2012-10-14 05:00:00",505
"None",9.09000000000003,0,0,90,"Clouds","overcast clouds","2012-10-14 06:00:00",861
"None",9.09000000000003,0,0,90,"Clouds","overcast clouds","2012-10-14 07:00:00",1132
"None",9.09000000000003,0,0,57,"Mist","mist","2012-10-14 08:00:00",1797
"None",9.28000000000003,0,0,57,"Drizzle","light intensity drizzle","2012-10-14 09:00:00",2685
"None",9.28000000000003,0,0,57,"Mist","mist","2012-10-14 09:00:00",2685
"None",9.28000000000003,0,0,57,"Haze","haze","2012-10-14 09:00:00",2685
"None",9.18000000000001,0,0,57,"Drizzle","light intensity drizzle","2012-10-14 10:00:00",3370
"None",9.18000000000001,0,0,57,"Mist","mist","2012-10-14 10:00:00",3370
"None",9.67000000000002,0,0,57,"Drizzle","light intensity drizzle","2012-10-14 11:00:00",3662
"None",9.67000000000002,0,0,57,"Mist","mist","2012-10-14 11:00:00",3662
"None",10.18,0,0,57,"Mist","mist","2012-10-14 12:00:00",4076
"None",10.18,0,0,57,"Rain","light rain","2012-10-14 12:00:00",4076
"None",10.18,0,0,57,"Drizzle","light intensity drizzle","2012-10-14 12:00:00",4076
"None",10.6,0,0,93,"Rain","light rain","2012-10-14 13:00:00",4128
"None",10.6,0,0,93,"Mist","mist","2012-10-14 13:00:00",4128
"None",10.6,0,0,93,"Drizzle","light intensity drizzle","2012-10-14 13:00:00",4128
"None",10.94,0,0,93,"Mist","mist","2012-10-14 14:00:00",4358
"None",10.94,0,0,93,"Rain","light rain","2012-10-14 14:00:00",4358
"None",10.94,0,0,93,"Drizzle","light intensity drizzle","2012-10-14 14:00:00",4358
"None",11.4,0,0,93,"Mist","mist","2012-10-14 15:00:00",4342
"None",11.4,0,0,93,"Rain","light rain","2012-10-14 15:00:00",4342
"None",11.53,0,0,93,"Mist","mist","2012-10-14 16:00:00",4234
"None",11.49,0,0,93,"Rain","light rain","2012-10-14 17:00:00",4271
"None",11.49,0,0,93,"Mist","mist","2012-10-14 17:00:00",4271
"None",11.25,0,0,93,"Mist","mist","2012-10-14 18:00:00",4080
"None",11.02,0,0,93,"Mist","mist","2012-10-14 19:00:00",3453
"None",10.88,0,0,93,"Mist","mist","2012-10-14 20:00:00",2718
"None",10.43,0,0,93,"Mist","mist","2012-10-14 21:00:00",2439
"None",9.89000000000004,0,0,93,"Mist","mist","2012-10-14 22:00:00",1819
"None",8.80000000000001,0,0,93,"Mist","mist","2012-10-14 23:00:00",1002
"None",8.80000000000001,0,0,93,"Fog","fog","2012-10-14 23:00:00",1002
"None",8.46000000000004,0,0,93,"Mist","mist","2012-10-15 00:00:00",542
"None",8.46000000000004,0,0,93,"Fog","fog","2012-10-15 00:00:00",542
"None",8.42000000000002,0,0,85,"Fog","fog","2012-10-15 01:00:00",303
"None",8.27000000000004,0,0,85,"Fog","fog","2012-10-15 02:00:00",239
"None",8.14000000000004,0,0,85,"Mist","mist","2012-10-15 03:00:00",335
"None",8.14000000000004,0,0,85,"Fog","fog","2012-10-15 03:00:00",335
"None",7.87,0,0,85,"Mist","mist","2012-10-15 04:00:00",810
"None",7.87,0,0,85,"Fog","fog","2012-10-15 04:00:00",810
"None",7.67000000000002,0,0,85,"Mist","mist","2012-10-15 05:00:00",2606
"None",7.67000000000002,0,0,85,"Fog","fog","2012-10-15 05:00:00",2606
"None",7.24000000000001,0,0,85,"Mist","mist","2012-10-15 06:00:00",5714
"None",7.04000000000002,0,0,100,"Mist","mist","2012-10-15 07:00:00",6798
"None",6.67000000000002,0,0,100,"Mist","mist","2012-10-15 08:00:00",6114
"None",6.60000000000002,0,0,100,"Mist","mist","2012-10-15 09:00:00",5094
"None",6.92000000000002,0,0,100,"Mist","mist","2012-10-15 10:00:00",4473
"None",7.17000000000002,0,0,90,"Clouds","overcast clouds","2012-10-15 11:00:00",4529
"None",8.57000000000005,0,0,100,"Clear","sky is clear","2012-10-15 12:00:00",4823
"None",10.86,0,0,40,"Clouds","scattered clouds","2012-10-15 13:00:00",4872
"None",12.73,0,0,1,"Clear","sky is clear","2012-10-15 14:00:00",5238
"None",13.72,0,0,1,"Clear","sky is clear","2012-10-15 15:00:00",5584
"None",14.45,0,0,20,"Clouds","few clouds","2012-10-15 16:00:00",6246
"None",14.12,0,0,20,"Clouds","few clouds","2012-10-15 17:00:00",5957
"None",13.03,0,0,20,"Clouds","few clouds","2012-10-15 18:00:00",4535
"None",12.05,0,0,75,"Clouds","broken clouds","2012-10-15 19:00:00",3234
"None",11.53,0,0,75,"Clouds","broken clouds","2012-10-15 20:00:00",2677
"None",11.34,0,0,90,"Clouds","overcast clouds","2012-10-15 21:00:00",2077
"None",10.39,0,0,20,"Clouds","few clouds","2012-10-15 22:00:00",1380
"None",9.18000000000001,0,0,75,"Clouds","broken clouds","2012-10-15 23:00:00",927
"None",8.06,0,0,20,"Clouds","few clouds","2012-10-16 00:00:00",500
